Core1,Core2
3941,4576
3943,4577
3944,4578
3948,4580
3950,4585
3951,4579
3952,4567
3954,4584
3955,4581
3957,4587
3957,4597
3957,4604
3960,4592
3961,4568
3963,3967
3963,4594
3964,4596
3964,4601
3964,5274
3966,4603
3966,4614
3967,4600
3968,4610
3968,4633
3968,5285
3968,5303
3970,4613
3970,4615
3972,4569
3972,4607
3975,4569
3977,4611
3978,4553
3978,4606
3978,5280
3979,4608
3981,4612
3981,4639
3986,4548
3987,4620
3988,4609
3990,4619
3992,4616
3992,4625
3994,4020
3994,4642
3996,4647
3997,4623
4004,4635
4007,4636
4008,4624
4011,4655
4011,4657
4020,4642
4023,4647
4029,4638
4030,4644
4032,4661
4035,4653
4036,4646
4037,4653
4041,4663
4044,4623
4045,4677
4046,4647
4047,4700
4048,4659
4050,4737
4051,4668
4052,4676
4053,4684
4054,4699
4056,4060
4056,4669
4059,4677
4059,4678
4060,4669
4067,4623
4073,4667
4076,4697
4085,4716
4092,4698
4101,4743
4101,5345
4102,4117
4102,4676
4104,4664
4107,4626
4110,4714
4116,4713
4116,4746
4117,4715
4120,4725
4139,4723
4164,4711
4165,4744
4178,4845
4192,4749
4192,4809
4193,4766
4196,4785
4206,4743
4206,4755
4206,5345
4207,4748
4208,4754
4209,4762
4217,4772
4217,4779
4217,4916
4217,5000
4217,5022
4233,4768
4235,4811
4236,4763
4239,4757
4241,4777
4253,4774
4254,4789
4255,4962
4271,4791
4272,4798
4274,4826
4279,4797
4286,4807
4287,4790
4288,4787
4290,4843
4303,4839
4309,4783
4311,4820
4312,4820
4318,4827
4318,4887
4318,4897
4318,4965
4325,4861
4330,4844
4332,4771
4333,4770
4333,4908
4334,4815
4336,4938
4337,4810
4339,4861
4352,4842
4357,4847
4361,4870
4363,4878
4368,5014
4378,4895
4384,4814
4388,4909
4390,4991
4391,4957
4393,4901
4394,4864
4396,4950
4396,4951
4396,4952
4398,4918
4408,5017
4414,4949
4414,5003
4415,4898
4425,5018
4426,5004
4431,4981
4432,4985
4433,4987
4438,4996
4446,5010
4449,5048
4451,5049
4452,5006
4453,5091
4458,5037
4463,5061
4464,5104
4465,5116
4471,5182
4472,5113
4475,5118
4476,5094
4476,5206
4477,5094
4477,5130
4477,5181
4477,5187
4477,5197
4477,5208
4477,5245
4477,5268
4479,5170
4487,5006
4489,4962
4490,5171
4490,5172
4490,5181
4490,5188
4490,5202
4491,5181
4494,5168
4499,5173
4501,5094
4501,5206
4504,5187
4507,4900
4508,5198
4510,4900
4512,5203
4513,5181
4515,5187
4515,5192
4517,5201
4518,5094
4520,5094
4522,5200
4522,5204
4522,5209
4522,5218
4523,5181
4524,5051
4524,5247
4524,5253
4524,5254
4524,5256
4524,5261
4524,5265
4524,5266
4524,5270
4524,5272
4525,5223
4527,5094
4528,5094
4529,5201
4531,5094
4532,5181
4534,5094
4535,5114
4536,5229
4537,5236
4538,5181
4539,5235
4541,5259
4542,5111
4543,5271
4553,5280
4569,5281
4569,5956
4596,4601
4596,5274
4601,5274
4603,5277
4606,5280
4608,5278
4609,5281
4610,4633
4610,5285
4611,5288
4614,5290
4615,5284
4617,5287
4620,5282
4622,5289
4623,5298
4624,5296
4633,5285
4633,5303
4633,5961
4636,5293
4637,5287
4637,5309
4638,5306
4639,5308
4642,5303
4643,5300
4644,5307
4644,5312
4646,5316
4647,5309
4647,5314
4647,5321
4649,5303
4652,5303
4653,5303
